名前,住所,最寄り駅１,最寄り駅２,最寄り駅３,築年数,建物全体の階数,階数,賃料,管理費,敷金,礼金,間取り,面積,URL,建物階数_最小,建物階数_最大,階数_最小,階数_最大
ルフォンプログレ渋谷ヒルトップ,東京都目黒区青葉台４,京王井の頭線/神泉駅 歩7分,東京メトロ銀座線/渋谷駅 歩12分,,2,18階建,18階,385000,30000,0,0,2LDK,53.57,https://suumo.jp/chintai/jnc_000080760477/?bc=100343140156,0,18,18,18
ルフォンプログレ渋谷ヒルトップ,東京都目黒区青葉台４,京王井の頭線/神泉駅 歩7分,東京メトロ銀座線/渋谷駅 歩12分,,2,18階建,14階,447000,30000,0,0,2LDK,61.28,https://suumo.jp/chintai/jnc_000079820144/?bc=100309185704,0,18,14,14
ルフォンプログレ渋谷ヒルトップ,東京都目黒区青葉台４,京王井の頭線/神泉駅 歩7分,東京メトロ銀座線/渋谷駅 歩12分,,2,18階建,15階,447000,30000,0,0,2LDK,61.28,https://suumo.jp/chintai/jnc_000086091509/?bc=100351222901,0,18,15,15
MFPR目黒タワー,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩7分,東急目黒線/不動前駅 歩18分,東急東横線/中目黒駅 歩22分,16,地下2地上25階建,18階,398000,20000,398000,796000,2LDK,64.34,https://suumo.jp/chintai/jnc_000086572052/?bc=100354329463,-2,25,18,18
MFPR目黒タワー,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩7分,東急目黒線/不動前駅 歩18分,東急東横線/中目黒駅 歩22分,16,地下2地上25階建,22階,648000,50000,648000,1296000,2LDK,105.83,https://suumo.jp/chintai/jnc_000086672250/?bc=100355039978,-2,25,22,22
東急東横線 学芸大学駅 5階建 新築,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩16分,東急東横線/都立大学駅 歩20分,0,5階建,1階,186000,12000,186000,186000,2LDK,40.8,https://suumo.jp/chintai/jnc_000086572033/?bc=100354357541,0,5,1,1
東急東横線 学芸大学駅 5階建 新築,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩16分,東急東横線/都立大学駅 歩20分,0,5階建,2階,194000,12000,194000,194000,2LDK,40.8,https://suumo.jp/chintai/jnc_000086572036/?bc=100354357604,0,5,2,2
東急東横線 学芸大学駅 5階建 新築,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩16分,東急東横線/都立大学駅 歩20分,0,5階建,3階,196000,12000,196000,196000,2LDK,40.8,https://suumo.jp/chintai/jnc_000086572038/?bc=100354357622,0,5,3,3
東急東横線 学芸大学駅 5階建 新築,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩16分,東急東横線/都立大学駅 歩20分,0,5階建,2階,197000,12000,197000,197000,2LDK,40.84,https://suumo.jp/chintai/jnc_000086572034/?bc=100354403583,0,5,2,2
東急東横線 学芸大学駅 5階建 新築,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩16分,東急東横線/都立大学駅 歩20分,0,5階建,3階,199000,12000,199000,199000,2LDK,40.84,https://suumo.jp/chintai/jnc_000086577253/?bc=100356632016,0,5,3,3
東急東横線 学芸大学駅 5階建 新築,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩16分,東急東横線/都立大学駅 歩20分,0,5階建,5階,204000,12000,204000,204000,2LDK,40.84,https://suumo.jp/chintai/jnc_000086572041/?bc=100357016797,0,5,5,5
東急東横線 学芸大学駅 5階建 新築,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩16分,東急東横線/都立大学駅 歩20分,0,5階建,4階,209000,12000,209000,209000,2LDK,40.6,https://suumo.jp/chintai/jnc_000086577257/?bc=100354390516,0,5,4,4
東急東横線 学芸大学駅 5階建 新築,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩16分,東急東横線/都立大学駅 歩20分,0,5階建,5階,217000,12000,217000,217000,2LDK,40.6,https://suumo.jp/chintai/jnc_000086572043/?bc=100356632017,0,5,5,5
ＪＲ山手線 目黒駅 地下2地上25階建 築16年,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩7分,東急目黒線/目黒駅 歩8分,東京メトロ南北線/目黒駅 歩7分,16,地下2地上25階建,18階,398000,20000,398000,796000,2LDK,64.34,https://suumo.jp/chintai/jnc_000084897414/?bc=100343261475,-2,25,18,18
ＪＲ山手線 目黒駅 地下2地上25階建 築16年,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩7分,東急目黒線/目黒駅 歩8分,東京メトロ南北線/目黒駅 歩7分,16,地下2地上25階建,10階,438000,20000,438000,876000,2LDK,68.83,https://suumo.jp/chintai/jnc_000086651174/?bc=100289660726,-2,25,10,10
ＪＲ山手線 目黒駅 地下2地上25階建 築16年,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩7分,東急目黒線/目黒駅 歩8分,東京メトロ南北線/目黒駅 歩7分,16,地下2地上25階建,14階,500000,30000,500000,1000000,2LDK,86.25,https://suumo.jp/chintai/jnc_000085235158/?bc=100345428571,-2,25,14,14
